Teff,LogL,LogL_lb,LogL_ub
3675.0,-1.3870418978661605,-1.4129818857137968,-1.3608193657403835
3680.0,-1.3803866884531668,-1.4066539681198442,-1.3541681130280947
3685.0,-1.37369449880888,-1.4000579900744405,-1.3476811978505883
3690.0,-1.367399816343193,-1.3935140511921595,-1.3411417648474644
3695.0,-1.3610392019959532,-1.3871170045858108,-1.334769814056101
3700.0,-1.3547714602328895,-1.3809640894156079,-1.3281764429663554
3705.0,-1.348503140122844,-1.3748614685206944,-1.321969374310962
3710.0,-1.3422702683535355,-1.3686704459787387,-1.3156723232771397
3715.0,-1.3361138155208776,-1.362643242429562,-1.3095376295100785
3720.0,-1.330183509255391,-1.3569012247048111,-1.3030960781972842
3723.71827946684,-1.3255876571967238,-1.352252382447588,-1.2985166041869916
3725.0,-1.3240580960807162,-1.3507934367214613,-1.2970646383484319
3728.754532303704,-1.3196904925570436,-1.3465439111033408,-1.2922969127629318
3730.0,-1.318158160213564,-1.3451409207822858,-1.2908345862010164
3735.0,-1.3122064394338322,-1.339442278551944,-1.2847231046410035
3740.0,-1.3064622511326507,-1.333967866048601,-1.2789034325903603
3745.0,-1.3006695363445286,-1.32833570632557,-1.273101588851696
3750.0,-1.2949495115762502,-1.3228176985295312,-1.2669896223204045
3755.0,-1.2893327023397672,-1.317303356571206,-1.2610781497351515
3760.0,-1.2836063861661744,-1.3121065435293362,-1.255447050005707
3765.0,-1.2781786484827864,-1.3066421472271617,-1.2497702870143692
3770.0,-1.2728693023892412,-1.301319148876875,-1.2441743461106223
3775.0,-1.267455414628593,-1.2962643530648321,-1.2386279473931625
3780.0,-1.2619312537948386,-1.2910287736389878,-1.2328884023325304
3785.0,-1.2566252829466205,-1.2861353910513205,-1.2273983293111654
3786.355758234252,-1.2552934867546637,-1.2846849947547676,-1.225877732942919
3790.0,-1.2514013975447322,-1.2810160880349983,-1.2216136298659304
3795.0,-1.2462856968436422,-1.2762307556367083,-1.2162631267392117
3800.0,-1.2411309185762243,-1.271512326163454,-1.2107802513303498
3805.0,-1.236095617427248,-1.2667284098089153,-1.2055182911976634
